"STAIDT","obs_median","preds_median","medOE","FFM"
"T10255800",0,0,NA,"Peak_Dur_10"
"T10257500",0,0,NA,"Peak_Dur_10"
"T10257600",0,0,NA,"Peak_Dur_10"
"T10258000",0,0,NA,"Peak_Dur_10"
"T10259000",0,0,NA,"Peak_Dur_10"
"T10263500",0,0,NA,"Peak_Dur_10"
"T10264000",0,0,NA,"Peak_Dur_10"
"T10264600",0,0,NA,"Peak_Dur_10"
"T10281800",0,0,NA,"Peak_Dur_10"
"T10291500",0,0,NA,"Peak_Dur_10"
"T10295500",0,0,NA,"Peak_Dur_10"
"T10308200",0,0,NA,"Peak_Dur_10"
"T10310000",0,-2.77555756156289e-17,0,"Peak_Dur_10"
"T10336580",0,0,NA,"Peak_Dur_10"
"T10336600",0,0,NA,"Peak_Dur_10"
"T10336645",0,0,NA,"Peak_Dur_10"
"T10336660",0,0,NA,"Peak_Dur_10"
"T10336676",0,0,NA,"Peak_Dur_10"
"T10336770",0,0,NA,"Peak_Dur_10"
"T10336780",0,0,NA,"Peak_Dur_10"
"T10343500",0,0,NA,"Peak_Dur_10"
"T10360900",0,0,NA,"Peak_Dur_10"
"T11033000",0,0,NA,"Peak_Dur_10"
"T11058600",0,0,NA,"Peak_Dur_10"
"T11063000",0,0,NA,"Peak_Dur_10"
"T11073470",0,2.77555756156289e-17,0,"Peak_Dur_10"
"T11080500",0,0,NA,"Peak_Dur_10"
"T11082000",0,0,NA,"Peak_Dur_10"
"T11084500",0,0,NA,"Peak_Dur_10"
"T11095500",0,0,NA,"Peak_Dur_10"
"T11098000",0,0,NA,"Peak_Dur_10"
"T11100000",0,0,NA,"Peak_Dur_10"
"T11111500",0,0,NA,"Peak_Dur_10"
"T11113000",0,0,NA,"Peak_Dur_10"
"T11115500",0,0,NA,"Peak_Dur_10"
"T11116000",0,0,NA,"Peak_Dur_10"
"T11117600",0,0,NA,"Peak_Dur_10"
"T11120500",0,0,NA,"Peak_Dur_10"
"T11124500",0,0,NA,"Peak_Dur_10"
"T11132500",0,0,NA,"Peak_Dur_10"
"T11138500",0,0,NA,"Peak_Dur_10"
"T11141150",0,0,NA,"Peak_Dur_10"
"T11141280",0,0,NA,"Peak_Dur_10"
"T11143000",0,0,NA,"Peak_Dur_10"
"T11143500",0,0,NA,"Peak_Dur_10"
"T11151300",0,0,NA,"Peak_Dur_10"
"T11151870",0,0,NA,"Peak_Dur_10"
"T11153900",0,0,NA,"Peak_Dur_10"
"T11160000",0,0,NA,"Peak_Dur_10"
"T11160020",0,0,NA,"Peak_Dur_10"
"T11160300",0,0,NA,"Peak_Dur_10"
"T11160500",0,0,NA,"Peak_Dur_10"
"T11162500",0,-2.77555756156289e-17,0,"Peak_Dur_10"
"T11162570",0,0,NA,"Peak_Dur_10"
"T11172100",0,0,NA,"Peak_Dur_10"
"T11173200",0,0,NA,"Peak_Dur_10"
"T11182100",0,0,NA,"Peak_Dur_10"
"T11182500",0,0,NA,"Peak_Dur_10"
"T11195500",0,0,NA,"Peak_Dur_10"
"T11209900",0,0,NA,"Peak_Dur_10"
"T11213500",0,0,NA,"Peak_Dur_10"
"T11214000",0,0,NA,"Peak_Dur_10"
"T11218500",0,0,NA,"Peak_Dur_10"
"T11220000",0,0,NA,"Peak_Dur_10"
"T11226500",0,0,NA,"Peak_Dur_10"
"T11230500",0,0,NA,"Peak_Dur_10"
"T11237500",0,0,NA,"Peak_Dur_10"
"T11257500",0,0,NA,"Peak_Dur_10"
"T11258000",0,0,NA,"Peak_Dur_10"
"T11264500",0,0,NA,"Peak_Dur_10"
"T11266500",0,0,NA,"Peak_Dur_10"
"T11268000",0,0,NA,"Peak_Dur_10"
"T11275000",0,0,NA,"Peak_Dur_10"
"T11281000",0,0,NA,"Peak_Dur_10"
"T11282000",0,0,NA,"Peak_Dur_10"
"T11283500",0,0,NA,"Peak_Dur_10"
"T11292500",0,0,NA,"Peak_Dur_10"
"T11294000",0,0,NA,"Peak_Dur_10"
"T11294500",0,0,NA,"Peak_Dur_10"
"T11315000",0,0,NA,"Peak_Dur_10"
"T11316800",0,0,NA,"Peak_Dur_10"
"T11318500",0,-2.77555756156289e-17,0,"Peak_Dur_10"
"T11341400",0,0,NA,"Peak_Dur_10"
"T11355500",0,0,NA,"Peak_Dur_10"
"T11371000",0,0,NA,"Peak_Dur_10"
"T11374000",0,0,NA,"Peak_Dur_10"
"T11375700",0,0,NA,"Peak_Dur_10"
"T11379000",0,0,NA,"Peak_Dur_10"
"T11394500",0,0,NA,"Peak_Dur_10"
"T11396400",0,0,NA,"Peak_Dur_10"
"T11406999",0,0,NA,"Peak_Dur_10"
"T11409300",0,0,NA,"Peak_Dur_10"
"T11413320",0,0,NA,"Peak_Dur_10"
"T11414000",0,0,NA,"Peak_Dur_10"
"T11418000",0,0,NA,"Peak_Dur_10"
"T11426150",0,0,NA,"Peak_Dur_10"
"T11427700",0,0,NA,"Peak_Dur_10"
"T11433260",0,0,NA,"Peak_Dur_10"
"T11449500",0,0,NA,"Peak_Dur_10"
"T11451100",0,0,NA,"Peak_Dur_10"
"T11464500",0,0,NA,"Peak_Dur_10"
"T11467500",0,0,NA,"Peak_Dur_10"
"T11467600",0,0,NA,"Peak_Dur_10"
"T11468000",0,-2.77555756156289e-17,0,"Peak_Dur_10"
"T11468500",0,0,NA,"Peak_Dur_10"
"T11472900",0,0,NA,"Peak_Dur_10"
"T11473900",0,0,NA,"Peak_Dur_10"
"T11474500",0,0,NA,"Peak_Dur_10"
"T11475500",0,0,NA,"Peak_Dur_10"
"T11475560",0,0,NA,"Peak_Dur_10"
"T11475800",0,0,NA,"Peak_Dur_10"
"T11476500",0,0,NA,"Peak_Dur_10"
"T11476600",0,0,NA,"Peak_Dur_10"
"T11477000",0,0,NA,"Peak_Dur_10"
"T11478500",0,0,NA,"Peak_Dur_10"
"T11480390",0,0,NA,"Peak_Dur_10"
"T11481200",0,0,NA,"Peak_Dur_10"
"T11481500",0,0,NA,"Peak_Dur_10"
"T11482500",0,0,NA,"Peak_Dur_10"
"T11522500",0,0,NA,"Peak_Dur_10"
"T11523200",0,0,NA,"Peak_Dur_10"
"T11526500",0,0,NA,"Peak_Dur_10"
"T11528700",0,0,NA,"Peak_Dur_10"
"T11532500",0,0,NA,"Peak_Dur_10"
